ID,Nome,Endereco,Telefone,Data_de_cadastro,CNPJ,Porte
4950,Vitor Rodriguez Silva Ferreira,RR,28198-0694,21/7/2015,43.831.091/0325-96,EPP
4951,Anita Leite Nascimento Santana,MA,45927-2871,19/3/2016,72.782.052/4501-93,ME
4952,Palmira Rodriguez Brito Saboia,ES,64034-6414,7/12/2019,30.565.313/3331-62,ME
4953,Vinícius Ferraz Ferreira Leme,SP,09788-9563,26/3/2018,55.351.201/7141-80,MEI
4954,Lorena Silva Lobato Munhoz,SE,29622-8557,13/11/2025,60.756.511/9925-89,ME
4955,Cássia Barbieri Cabral Mendonça,RJ,65647-5316,4/9/2024,59.346.043/0682-63,ME
4956,Emily Oliveria Fernandes Brito,AL,07365-7265,19/7/2016,88.143.952/9176-84,ME
4957,Tom Breda Boaz Oliveria,AC,28344-3308,18/5/2017,64.930.619/7324-47,MEI
4958,Bruno Marques Rodrigues Lobato,PA,72692-6412,7/8/2025,07.517.943/7283-34,Grande Porte
4959,Eloísa Fernandes Diones Silva,AC,32008-6393,8/1/2024,21.177.542/2862-72,EPP
4960,Naira Brito Silva Mendonça,CE,39869-2692,12/4/2023,00.711.107/0572-43,MEI
4961,Cássia Ferreira Ferraz Santana,MA,82974-7645,13/6/2016,98.613.091/8160-68,EPP
4962,Martha Brito Diones Santana,MG,40575-3261,23/2/2024,92.172.791/3378-33,EPP
4963,Esther Cabral Ferraz Breda,MT,26362-4091,21/9/2022,30.079.264/6046-36,MEI
4964,Jean Cabral Leite Marques,AC,81600-6383,10/9/2019,60.522.449/7470-08,EPP
4965,Ayrton Cardoso Fernandes Leite,RN,60232-4767,6/12/2017,59.376.301/4262-74,ME
4966,Caio Pinheiro Marques Rodrigues,DF,00899-1678,9/12/2018,60.679.286/6402-21,Medio Porte
4967,Adriel Moares Teixeira Nascimento,SP,62797-6325,24/9/2022,43.846.370/1418-22,EPP
4968,Jonathan Paz Coutinho Cardoso,PR,12068-5773,22/3/2025,00.069.126/4928-18,EPP
4969,Anna Saboia Munhoz Matos,AP,09352-8079,5/7/2024,96.004.966/9960-42,ME
4970,Elizabeth Ferreira Diones Silva,MT,48147-4757,13/12/2021,39.455.189/0964-67,Grande Porte
4971,Isaac Brito Diones Nascimento,AP,06283-1741,17/12/2016,02.483.987/6919-17,ME
4972,Frida Barbieri Oliveria Leme,RJ,48300-5765,20/3/2015,93.559.990/4596-14,EPP
4973,Sabrina Ferraz Boaz Lobato,MA,87057-1933,12/10/2021,93.309.638/7056-19,EPP
4974,Tom Teixeira Mendonça Pinheiro,RR,22795-1657,9/2/2020,22.125.505/4542-58,ME
4975,Rodolfo Silva Saboia Cabral,CE,43652-5608,6/7/2017,81.704.826/4818-01,ME
4976,Gabriela Nascimento Nascimento Rodriguez,DF,73743-3677,26/11/2022,19.200.380/3096-51,EPP
4977,Lucas Nascimento Gonçalves Leme,BA,54738-9252,16/12/2019,75.379.686/1909-48,Grande Porte
4978,David Brito Cabral Matos,DF,00454-3030,20/6/2017,24.502.269/3237-81,EPP
4979,Alice Oliveria Nascimento Saboia,SC,69864-8238,5/3/2022,88.377.008/9836-37,MEI
4980,Bárbara Paz Leme Cabral,ES,36854-9192,12/5/2025,75.030.611/6267-08,MEI
4981,Adão Coutinho Diones Moares,AC,27736-1937,28/5/2021,88.657.099/4563-42,EPP
4982,Josué Brito Gonçalves Brito,AC,06613-3438,11/7/2021,63.246.531/2102-50,ME
4983,Joelma Coutinho Coutinho Rodrigues,TO,19594-5345,14/2/2020,45.747.432/4793-64,ME
4984,Miguel Santana Teixeira Gonçalves,RO,36778-0503,16/5/2021,13.215.926/3155-12,EPP
4985,Carla Leite Leite Brito,SP,80329-8770,1/2/2022,64.255.168/5765-50,ME
4986,Sandra Ferreira Boaz Cardoso,PE,56447-5780,20/5/2015,58.307.876/9224-92,MEI
4987,Esther Saboia Brito Rodrigues,MA,24873-1420,13/6/2017,12.575.188/6906-83,ME
4988,Anderson Ferraz Brito Cardoso,MA,40230-0374,18/2/2018,45.550.363/0030-97,EPP
4989,Gustavo Ferraz Teixeira Nascimento,RJ,39215-0009,22/4/2025,18.908.450/5243-70,ME
4990,Roberto Gonçalves Saboia Oliveria,RS,28670-5233,15/12/2025,71.152.590/5588-26,Medio Porte
4991,Rodolfo Mendonça Boaz Barbieri,MS,29204-3778,21/12/2023,25.111.930/1045-98,ME
4992,Ana Oliveria Mendonça Saboia,RO,03288-3312,4/11/2017,73.863.965/6633-54,MEI
4993,Gabriel Teixeira Boaz Rodriguez,RJ,79344-5416,18/11/2020,14.115.650/5847-50,EPP
4994,Antônio Silva Leme Cardoso,CE,66529-2925,18/11/2023,64.907.565/4849-83,ME
4995,Cássia Boaz Ferreira Brito,TO,89064-0070,10/5/2024,09.100.972/0014-19,ME
4996,Beatriz Boaz Oliveria Rodrigues,RJ,34039-3045,13/12/2020,88.256.398/1933-54,EPP
4997,Carol Matos Santana Brito,RN,75732-7457,14/12/2017,49.691.529/1225-00,ME
4998,Regina Coutinho Ferreira Barbieri,SE,79217-6663,10/2/2022,22.512.985/5461-54,Medio Porte
4999,Antônio Rodriguez Munhoz Munhoz,SC,81389-7698,16/5/2016,32.075.320/2102-47,ME
5000,Raquel Diones Paz Pinheiro,MT,27220-8664,19/7/2019,09.305.804/5791-05,EPP
5001,Regina Cardoso Diones Munhoz,AM,73495-7414,18/1/2016,51.166.000/0885-20,ME
5002,Thiago Diones Ferraz Diones,ES,57467-4624,12/5/2021,61.413.014/8305-46,ME
5003,Alice Rodrigues Barbieri Barbieri,RJ,35353-7284,13/1/2016,95.235.626/6784-00,EPP
5004,Abraão Rodrigues Barbieri Moares,RS,22309-6709,28/8/2022,24.040.556/3104-23,ME
5005,Bruno Rodriguez Barbieri Ferraz,GO,48857-8923,9/3/2017,30.995.648/3446-33,MEI
5006,Luisa Marques Munhoz Coutinho,AC,34778-2885,20/5/2017,54.345.678/6493-10,ME
5007,Davi Rodriguez Mendonça Leme,PB,22173-4254,12/4/2019,24.378.093/5962-87,Medio Porte
5008,Joana Leme Ferraz Barbieri,AL,49658-4348,20/5/2025,46.768.795/4243-52,ME
5009,Luiza Rodrigues Coutinho Ferraz,PI,81867-1031,24/5/2022,65.711.389/2358-16,EPP
5010,Camilla Saboia Ferreira Ferraz,PB,38864-8127,15/1/2024,05.810.783/3495-64,MEI
5011,Giuseppe Paz Saboia Pinheiro,PR,05951-7595,4/7/2024,54.650.843/2022-51,EPP
5012,Frida Ferraz Teixeira Santana,TO,66196-4545,13/3/2016,00.914.890/8968-38,MEI
5013,Louise Leite Leme Brito,AP,21472-7135,26/11/2021,63.132.599/7816-84,MEI
5014,Regina Boaz Leite Mendonça,SP,32370-5883,11/12/2022,63.307.836/2970-24,ME
5015,Helena Fernandes Matos Moares,RN,04082-6333,17/1/2023,29.458.623/3224-69,ME
5016,Wanda Mendonça Teixeira Mendonça,RN,19563-8934,25/5/2023,93.015.980/1551-47,ME
5017,Abraão Mendonça Gonçalves Santana,PA,34521-8324,19/8/2016,17.482.075/0148-53,ME
5018,Eduardo Ferreira Gonçalves Silva,RN,93116-9854,11/7/2021,90.883.568/7295-06,MEI
5019,Jason Teixeira Ferraz Rodriguez,RS,19656-7774,16/10/2018,25.729.871/0865-62,ME
5020,Rita Nascimento Moares Munhoz,PR,29574-8467,28/5/2021,50.618.578/9873-05,ME
5021,Antonieta Teixeira Ferreira Lobato,AP,10488-0407,6/7/2020,81.293.686/9244-67,ME
5022,Thereza Brito Breda Breda,MG,89076-5712,26/7/2023,12.266.921/2953-96,EPP
5023,Ana Cardoso Silva Nascimento,GO,77352-9900,20/9/2021,26.630.258/2193-95,Medio Porte
5024,Bárbara Oliveria Teixeira Cabral,RJ,68206-2161,6/1/2020,09.974.084/6735-92,ME
5025,Sônia Brito Oliveria Pinheiro,MT,09122-5487,6/8/2025,06.819.412/3226-53,ME
5026,Giovanni Mendonça Santana Teixeira,AP,15678-4215,9/11/2018,28.719.460/9894-78,Medio Porte
5027,Bernardo Marques Oliveria Breda,PE,96377-4234,19/3/2018,59.831.057/7800-76,ME
5028,Bruna Munhoz Matos Ferraz,AC,24810-8796,8/10/2025,88.047.771/3423-69,EPP
5029,Henry Cardoso Munhoz Cabral,PI,27607-9150,24/3/2015,20.518.572/8927-18,Medio Porte
5030,Elizabeth Munhoz Nascimento Ferraz,CE,40219-2376,21/6/2019,20.975.038/3833-71,ME
5031,Giovanni Fernandes Pinheiro Coutinho,RO,41356-6606,18/1/2024,95.919.718/7480-48,Medio Porte
5032,Rute Fernandes Barbieri Moares,AL,39601-3796,5/11/2024,44.017.592/5320-53,Grande Porte
5033,Frederico Boaz Ferraz Brito,SE,52464-7792,2/2/2016,13.390.929/3723-85,Medio Porte
5034,Gabriel Paz Santana Moares,PB,08678-0692,8/9/2018,89.341.836/9084-95,ME
5035,Elis Pinheiro Nascimento Nascimento,PB,87892-3187,22/4/2025,09.499.406/0830-59,ME
5036,Micheal Fernandes Pinheiro Lobato,RO,20860-7651,28/7/2015,34.013.845/5725-38,ME
5037,Tom Leme Ferreira Munhoz,RS,43894-5028,3/9/2016,42.924.026/9076-35,ME
5038,Gabriela Matos Rodrigues Matos,SE,12861-2054,12/9/2025,31.279.491/4281-29,EPP
5039,Henry Silva Matos Rodriguez,RR,20615-3743,8/3/2025,34.231.107/8274-26,EPP
5040,Maria Nascimento Cardoso Diones,MG,28965-7174,28/2/2019,42.335.357/0422-94,ME
5041,Breno Silva Diones Matos,RR,31138-3525,28/7/2017,48.633.418/7548-72,Grande Porte
5042,Marcos Ferreira Oliveria Paz,MG,68498-0499,14/6/2023,81.498.991/3513-02,EPP
5043,Sônia Mendonça Breda Cardoso,AP,95286-0667,10/8/2015,65.703.929/1167-39,ME
5044,Solange Brito Ferreira Boaz,AP,05460-5411,9/12/2019,80.072.309/5845-63,EPP
5045,Martha Silva Nascimento Ferraz,SE,87682-3048,27/2/2020,39.384.345/7485-32,Grande Porte
5046,Rafael Cabral Lobato Diones,MG,26421-2478,16/1/2018,04.970.292/7819-85,ME
5047,Gabriel Santana Lobato Mendonça,MT,52726-0009,10/8/2025,57.461.874/0029-09,ME
5048,Marcos Munhoz Coutinho Matos,PI,34283-6611,16/12/2018,47.388.015/8857-99,Grande Porte
5049,Guilherme Munhoz Breda Rodriguez,SP,52469-8106,8/8/2017,20.320.781/7305-99,MEI
5050,Enzo Ferraz Matos Fernandes,PB,81449-0418,8/12/2019,35.164.732/2208-48,ME
5051,Dalva Moares Lobato Rodrigues,CE,58488-2591,24/8/2017,81.558.893/8864-02,EPP
5052,Joelma Barbieri Moares Ferraz,BA,42848-2409,23/1/2017,15.138.068/6833-30,ME
5053,André Mendonça Ferraz Santana,MT,61994-8808,23/10/2024,09.792.832/4242-88,EPP
5054,Tom Paz Ferraz Saboia,RO,45118-3969,3/9/2025,19.153.880/0088-41,EPP
5055,Louise Santana Pinheiro Coutinho,AM,68767-1486,2/9/2019,20.980.104/8297-92,Grande Porte
5056,Rafael Moares Ferraz Brito,PA,39528-1860,4/1/2022,84.981.794/0422-09,ME
5057,Darwim Barbieri Silva Coutinho,RN,43037-8361,4/8/2021,26.843.851/8526-53,MEI
5058,Isaac Leme Boaz Nascimento,AP,45865-6480,25/1/2024,80.534.537/0707-36,MEI
5059,Patrick Paz Silva Leme,RO,20617-3126,24/3/2022,81.411.000/8687-96,Medio Porte
5060,David Teixeira Nascimento Gonçalves,PA,41117-1221,10/8/2015,24.430.460/7101-88,EPP
5061,Laura Brito Nascimento Ferraz,PE,96151-8471,15/5/2015,58.347.134/4306-56,MEI
5062,Darwim Santana Nascimento Breda,AM,20146-4999,14/3/2016,15.773.157/9120-42,ME
5063,Antônio Barbieri Ferraz Nascimento,AC,08863-0381,17/12/2015,35.394.317/5139-84,ME
5064,Anderson Leme Rodriguez Santana,RO,25435-9375,16/11/2023,92.061.405/2801-84,Grande Porte
5065,Louise Pinheiro Ferraz Santana,PE,10679-8694,17/12/2020,11.742.629/6381-23,ME
5066,Solange Brito Barbieri Rodrigues,PA,64907-8485,21/12/2021,70.882.621/9181-93,ME
5067,Cláudio Mendonça Munhoz Saboia,PI,76918-8423,9/2/2019,46.327.876/1371-22,ME
5068,Milton Marques Boaz Lobato,CE,92855-4403,20/7/2022,46.390.288/1902-33,MEI
5069,Antonieta Matos Breda Rodriguez,GO,17927-0584,7/4/2021,96.574.371/1532-18,Grande Porte
5070,Jonathan Ferreira Fernandes Oliveria,ES,58442-2827,6/7/2016,42.182.911/9452-66,EPP
5071,Antonieta Breda Mendonça Matos,MA,76791-3284,8/2/2025,48.276.621/9559-66,ME
5072,Vitor Breda Ferraz Saboia,RR,35862-2920,26/9/2025,05.061.497/8543-10,EPP
5073,Zuleide Rodrigues Marques Gonçalves,PE,56645-7761,1/1/2023,37.515.073/5588-39,MEI
5074,Nayara Pinheiro Teixeira Oliveria,MG,57729-2624,15/9/2022,32.893.019/1470-35,EPP
5075,Rafael Saboia Cabral Teixeira,RO,32267-6526,15/11/2017,20.040.762/1534-25,ME
5076,Thiago Matos Boaz Cabral,PA,22477-5852,24/7/2020,56.354.910/1098-92,ME
5077,Isabela Barbieri Diones Coutinho,PB,52131-1280,13/3/2018,28.337.089/4259-87,ME
5078,Marcos Rodrigues Rodriguez Brito,PI,54215-6719,23/4/2020,22.934.380/5834-65,ME
5079,Cláudio Paz Diones Diones,RN,91805-3343,27/5/2019,38.575.126/0282-15,Medio Porte
5080,Gustavo Ferraz Moares Coutinho,PI,43354-2971,11/5/2017,74.754.960/0857-68,ME
5081,Gabriel Nascimento Ferraz Boaz,SC,86095-9042,21/4/2024,87.526.552/1375-78,ME
5082,Cassandra Santana Gonçalves Matos,GO,99535-2319,3/11/2015,80.215.660/1333-05,MEI
5083,Alice Gonçalves Paz Coutinho,RS,45649-4730,25/12/2017,79.054.682/6404-10,ME
5084,Sônia Pinheiro Leite Pinheiro,PR,68091-7370,21/12/2025,51.177.245/1624-97,ME
5085,Ariel Leme Rodriguez Leme,MS,60070-3798,4/4/2019,36.969.012/2624-91,EPP
5086,Darwim Ferraz Leite Brito,TO,15123-0526,22/5/2019,10.831.709/0842-55,ME
5087,Bernardo Breda Cabral Ferraz,AM,83523-5625,7/8/2018,70.419.128/6317-73,ME
5088,Rita Fernandes Lobato Gonçalves,MG,08772-0386,21/6/2019,76.034.113/6859-28,MEI
5089,Guilherme Paz Cabral Rodrigues,PI,55178-7511,24/9/2025,48.125.808/4128-67,Grande Porte
5090,Anita Diones Gonçalves Moares,RO,74925-0500,9/3/2022,63.305.857/1338-78,MEI
5091,Esther Cardoso Ferraz Mendonça,PI,68075-5170,19/5/2025,13.786.191/4999-37,EPP
5092,Naira Rodrigues Santana Teixeira,TO,54370-1799,23/1/2021,17.343.253/2225-72,ME
5093,Darwim Gonçalves Gonçalves Barbieri,BA,16548-9562,26/11/2017,56.801.998/5506-08,ME
5094,Sandra Barbieri Pinheiro Leme,GO,20640-9996,18/8/2015,38.041.238/6959-71,ME
5095,Eduardo Ferreira Ferreira Cardoso,AP,29665-5929,19/11/2020,38.119.851/8846-51,MEI
5096,Jason Moares Brito Teixeira,MT,26064-5367,20/4/2020,92.648.658/4738-09,EPP
5097,Davi Leite Rodriguez Breda,SE,55354-8113,26/2/2019,70.138.759/4392-18,Medio Porte
5098,Adão Gonçalves Nascimento Brito,SC,58957-0656,11/6/2022,48.059.244/3800-51,ME
5099,Adriel Silva Ferraz Barbieri,GO,39603-3057,22/7/2018,41.714.259/5985-34,EPP
5100,Lorena Barbieri Pinheiro Rodrigues,PR,81224-9075,7/12/2024,52.094.450/6036-37,EPP
5101,Luiz Matos Brito Marques,TO,57088-9958,17/10/2017,99.229.591/0659-88,ME
5102,Pedro Moares Paz Matos,RN,86939-1139,20/6/2024,32.472.114/2756-61,Medio Porte
5103,Dalva Brito Cabral Santana,ES,31268-3878,21/2/2018,98.213.608/8472-46,ME
5104,Zuleide Oliveria Ferreira Gonçalves,AP,51017-9336,8/5/2015,72.782.611/5503-20,ME
5105,Felipe Munhoz Lobato Leite,MG,79792-2675,26/2/2019,22.156.390/0293-92,MEI
5106,Jonathan Santana Teixeira Breda,BA,20171-2501,20/7/2015,04.881.765/3882-01,EPP
5107,Joelma Diones Cabral Breda,PR,61197-2246,5/3/2020,08.562.269/0505-63,ME
5108,Cassandra Marques Moares Paz,RS,16037-0888,7/3/2025,43.552.844/3593-28,EPP
5109,Chico Munhoz Ferraz Breda,AP,03658-6067,22/11/2020,96.430.407/3669-44,ME
5110,Isabela Gonçalves Teixeira Nascimento,PB,77692-4305,2/2/2021,37.833.739/6926-72,ME
5111,André Nascimento Mendonça Moares,DF,76156-5597,27/7/2023,19.691.199/6592-33,MEI
5112,Gustavo Fernandes Oliveria Breda,TO,99018-3333,1/5/2021,40.459.388/3135-33,ME
5113,Dorotéia Moares Breda Breda,BA,72642-0287,27/6/2016,73.383.828/3762-40,EPP
5114,Joaquim Silva Rodriguez Cabral,ES,80729-9963,6/7/2015,56.608.846/1908-18,MEI
5115,Nayara Cabral Coutinho Coutinho,MG,27967-2020,11/10/2024,78.722.649/0131-96,EPP
5116,Joelma Barbieri Mendonça Silva,PB,48645-3302,14/1/2015,65.176.124/9046-31,Medio Porte
5117,Daniel Mendonça Ferraz Ferraz,DF,49045-0026,10/3/2023,86.909.440/8887-84,ME
5118,Pedro Ferraz Lobato Munhoz,PE,27335-5532,8/4/2020,51.862.715/3582-93,ME
5119,Sônia Leme Nascimento Ferreira,RJ,16229-9775,24/4/2021,23.691.018/7591-66,ME
5120,Christina Leme Pinheiro Leite,MS,61504-5491,23/12/2021,84.523.516/3545-17,EPP
5121,Sônia Ferraz Boaz Breda,AL,27316-7587,8/10/2022,79.946.051/3008-81,EPP
5122,Roberto Coutinho Teixeira Teixeira,PI,00562-9355,19/11/2020,41.295.643/4413-00,MEI
5123,Suzana Matos Saboia Leme,CE,27134-9072,9/1/2021,55.456.050/0191-26,ME
5124,Danilo Brito Mendonça Silva,ES,66516-5994,27/2/2025,59.252.791/0548-56,EPP
5125,Thomas Oliveria Pinheiro Santana,SP,29601-4305,27/5/2018,89.121.584/4203-50,MEI
5126,Abraão Cardoso Mendonça Fernandes,ES,02650-6090,25/12/2015,79.353.234/8910-56,MEI
5127,Rute Leite Barbieri Lobato,BA,67214-5149,21/8/2017,61.564.222/0681-80,MEI
5128,Elaine Leme Leme Diones,BA,80028-6889,15/12/2024,41.417.291/0677-34,ME
5129,Martha Gonçalves Breda Marques,AC,58282-8623,6/6/2022,78.563.579/4297-31,Medio Porte
5130,Elaine Teixeira Leme Gonçalves,AL,73328-9466,22/1/2017,49.473.003/2351-31,ME
5131,Sandra Breda Fernandes Silva,RN,57420-0122,17/10/2015,32.029.803/7961-45,ME
5132,Jorge Saboia Ferraz Mendonça,RO,05823-1396,8/5/2020,88.572.278/3477-10,MEI
5133,Enzo Pinheiro Oliveria Nascimento,MG,31680-2332,24/5/2024,38.507.761/6117-59,Medio Porte
5134,Ariel Cardoso Santana Mendonça,RO,32348-4763,21/3/2020,53.318.140/6056-35,MEI
5135,Luisa Ferreira Leme Pinheiro,PI,70754-3171,10/9/2025,68.425.386/7046-75,EPP
5136,Benjamim Santana Coutinho Cabral,MT,82631-7870,28/9/2019,95.188.780/4005-13,ME
5137,Josué Ferraz Marques Ferreira,AM,14391-3899,5/7/2021,91.112.741/9374-58,ME
5138,Arthur Coutinho Ferreira Gonçalves,TO,56943-1203,23/10/2018,67.902.018/7247-16,Medio Porte
5139,Joana Leme Diones Barbieri,PA,66726-1343,25/9/2024,79.696.375/3419-69,Medio Porte
5140,Guilherme Boaz Brito Marques,TO,94204-2025,24/10/2016,96.502.294/4949-30,Medio Porte
5141,Emanuel Ferreira Barbieri Paz,MG,62665-0624,4/11/2025,71.193.265/8256-34,Grande Porte
5142,Zulmira Ferreira Teixeira Rodrigues,TO,24182-4633,16/6/2018,03.592.171/1742-23,MEI
5143,Alexandre Diones Boaz Cabral,SP,23110-5719,10/1/2023,81.476.685/8036-43,MEI
5144,Davi Ferraz Leite Matos,AL,76132-5972,12/2/2025,52.162.063/4593-83,EPP
5145,Fátima Teixeira Brito Leite,ES,76521-6025,27/7/2022,23.710.114/5501-06,Grande Porte
5146,Bruna Santana Ferraz Rodriguez,MT,36785-5371,23/7/2019,24.049.637/4155-74,MEI
5147,Diana Saboia Saboia Santana,ES,98811-3568,11/9/2015,35.772.011/9173-98,EPP
5148,Jacques Lobato Pinheiro Pinheiro,MG,73606-4913,17/10/2024,80.357.867/0638-00,ME
5149,Cassandra Munhoz Diones Cardoso,TO,81268-1814,7/2/2017,16.700.148/7208-11,ME
5150,Martha Ferraz Brito Mendonça,MT,01913-0699,22/3/2016,52.310.633/4351-51,ME
5151,Caio Barbieri Coutinho Ferreira,RR,95469-9075,16/9/2023,54.391.980/8366-00,ME
5152,André Nascimento Coutinho Moares,MS,35946-8055,4/6/2025,31.984.099/5547-97,Medio Porte
5153,Pedro Fernandes Barbieri Gonçalves,CE,08006-0258,7/8/2024,94.122.644/9831-99,Medio Porte
5154,Samuel Munhoz Boaz Rodrigues,PR,32167-9872,24/4/2024,95.453.794/2151-25,Medio Porte
5155,Carlos Paz Barbieri Fernandes,SE,82891-5845,4/8/2017,18.252.550/5750-47,MEI
5156,Pedro Barbieri Nascimento Rodriguez,PA,64119-0264,6/11/2021,09.067.885/4682-80,ME
5157,Thiago Lobato Oliveria Barbieri,PE,48703-5490,9/10/2020,80.970.473/7847-21,MEI
5158,Rita Gonçalves Cardoso Leite,SC,01051-5321,15/5/2019,57.979.081/7704-03,ME
5159,Emily Pinheiro Lobato Barbieri,MG,43764-5466,19/9/2020,83.539.555/7596-89,MEI
5160,Vanessa Pinheiro Lobato Breda,RR,14828-7758,15/10/2018,58.916.119/2165-99,ME
5161,Milton Barbieri Brito Ferraz,SE,30724-3122,8/1/2022,48.058.673/9417-11,ME
5162,David Breda Lobato Diones,RS,53264-8657,21/9/2016,91.953.901/0525-99,ME
5163,Giovanni Moares Marques Saboia,ES,49926-1354,9/11/2019,78.290.613/7008-79,ME
5164,Naira Ferreira Leme Coutinho,PR,95778-2751,7/9/2021,68.729.243/5044-29,EPP
5165,Andréia Boaz Munhoz Ferraz,AL,41221-5742,1/12/2023,68.784.844/9808-32,EPP
5166,Carol Gonçalves Oliveria Gonçalves,RS,27193-2283,7/9/2017,13.018.566/5344-27,EPP
5167,Lucas Oliveria Rodrigues Santana,PE,82856-7315,23/10/2015,68.017.989/0225-66,MEI
5168,Eduardo Leite Moares Oliveria,MS,35273-6990,16/11/2025,56.155.085/3920-08,EPP
5169,Ana Ferreira Leite Ferraz,MS,60973-4871,11/11/2017,44.870.206/5042-49,Medio Porte
5170,Camilla Cabral Lobato Cardoso,PR,10654-6164,24/3/2023,43.900.681/5124-21,ME
5171,Emily Nascimento Paz Cabral,PE,49098-0989,5/12/2016,77.219.865/2978-66,MEI
5172,Maria Paz Marques Moares,MA,20759-0176,2/9/2020,28.861.456/7778-23,ME
5173,Jonas Moares Coutinho Gonçalves,AC,82106-8052,11/9/2023,64.901.456/0598-64,ME
5174,Luiz Silva Ferraz Silva,TO,46374-5262,26/2/2019,31.892.535/4923-33,EPP
5175,Bruna Fernandes Ferraz Lobato,SP,89569-1373,2/8/2022,37.957.363/3430-83,ME
5176,Dorotéia Silva Brito Saboia,MT,94123-2345,2/12/2019,06.903.177/6157-27,Medio Porte
5177,Henry Leme Moares Cardoso,MT,09472-1435,3/6/2025,60.558.220/8368-75,MEI
5178,Carolina Marques Marques Rodrigues,RN,78742-5820,23/11/2019,26.743.177/8445-37,EPP
5179,Wanda Teixeira Diones Ferraz,PA,14772-6622,1/7/2015,36.137.594/9772-38,EPP
5180,Joana Ferraz Fernandes Teixeira,MG,46068-4640,25/1/2018,21.812.220/4455-65,Grande Porte
5181,Gustavo Moares Ferraz Diones,PE,45895-6709,14/1/2015,95.156.778/3278-64,EPP
5182,Carla Diones Breda Breda,PR,72908-2706,15/11/2016,59.044.708/5526-02,MEI
5183,Felipe Nascimento Gonçalves Matos,AC,74655-6241,17/10/2018,51.335.838/0840-87,MEI
5184,Mercedes Teixeira Fernandes Mendonça,SC,41397-9759,4/8/2018,00.565.440/2316-83,EPP
5185,Felipe Brito Rodriguez Munhoz,SE,25386-6418,23/12/2018,44.097.070/4560-12,ME
5186,Creuza Cabral Diones Boaz,PR,45550-3444,10/12/2023,37.856.534/0563-95,ME
5187,Sandra Boaz Rodrigues Coutinho,SE,15761-0370,4/8/2018,87.088.271/6752-13,ME
5188,Emanuel Brito Boaz Silva,MS,53873-8192,16/12/2016,90.727.965/5832-04,ME
5189,Gabriel Rodrigues Munhoz Saboia,BA,83425-7123,8/8/2018,30.383.308/4160-77,EPP
5190,Josué Leite Ferraz Silva,AP,49581-5990,7/12/2016,83.607.839/3371-68,ME
5191,Diana Lobato Santana Oliveria,SP,81359-3104,5/8/2017,51.118.060/2384-29,Medio Porte
5192,Nayara Diones Fernandes Oliveria,RN,46176-7721,18/12/2024,24.947.087/4127-52,Medio Porte
5193,Ben Lobato Moares Saboia,MS,09725-8347,27/12/2020,07.799.490/2851-18,EPP
5194,Beatriz Nascimento Moares Nascimento,SC,45066-5486,23/9/2018,54.968.298/6735-60,Medio Porte
5195,Thiago Nascimento Rodriguez Oliveria,TO,54876-9627,8/7/2016,02.527.738/5849-21,ME
5196,Carolina Boaz Saboia Paz,TO,02107-1490,14/6/2022,04.635.734/6171-67,Medio Porte
5197,Juliana Coutinho Marques Cardoso,MT,81785-0114,2/1/2024,99.318.110/5502-65,ME
5198,Solange Coutinho Leme Paz,AC,28348-2312,11/7/2024,05.033.888/8377-53,MEI
5199,Nayara Munhoz Teixeira Boaz,AC,13516-6853,12/4/2023,95.169.740/9466-81,MEI
5200,Jorge Gonçalves Munhoz Ferraz,AP,85850-8457,1/10/2018,90.942.048/8727-23,ME
5201,Benjamim Ferraz Moares Oliveria,SE,38921-0559,23/3/2020,23.150.107/6738-15,Grande Porte
5202,Thomas Ferraz Munhoz Matos,RS,33121-0864,27/8/2025,32.420.892/1359-98,EPP
5203,Nara Ferraz Marques Leite,TO,25010-2485,4/6/2022,99.767.316/6028-00,EPP
5204,Maria Santana Munhoz Paz,AM,35430-0202,13/4/2025,38.699.217/3141-72,Medio Porte
5205,Elizabeth Marques Diones Fernandes,SC,96737-4443,9/4/2018,86.789.052/3960-09,MEI
5206,Camilla Santana Munhoz Breda,MA,20636-3912,14/9/2024,31.625.228/4307-89,ME
5207,Roberto Pinheiro Marques Marques,BA,81265-7087,6/7/2015,46.145.328/3030-72,Medio Porte
5208,Willian Lobato Mendonça Oliveria,BA,22169-7955,12/8/2023,16.477.942/3089-34,Grande Porte
5209,Adão Rodriguez Teixeira Ferraz,RS,45054-4346,25/5/2020,75.528.513/2121-92,MEI
5210,Zuleide Oliveria Oliveria Gonçalves,MS,81374-6860,8/10/2021,00.182.676/7286-80,ME
5211,Emanuel Teixeira Leme Ferraz,PE,95532-0104,17/9/2016,06.623.625/3491-46,ME
5212,Darwim Nascimento Pinheiro Mendonça,AL,34664-7071,4/9/2018,65.214.779/6306-72,EPP
5213,Vitor Pinheiro Boaz Rodriguez,SE,56607-9380,18/1/2015,63.869.090/0419-73,ME
5214,Gustavo Teixeira Saboia Pinheiro,MS,44115-9710,6/1/2022,64.329.885/1438-05,Grande Porte
5215,Eloísa Ferraz Cabral Pinheiro,RS,34801-1041,6/2/2023,69.573.275/8164-58,ME
5216,Jason Nascimento Nascimento Moares,PA,51304-3351,28/12/2020,38.351.259/5330-39,MEI
5217,Luiza Ferraz Ferraz Cardoso,AM,75139-8032,14/5/2021,03.329.108/2684-68,ME
